ID,wav,start,stop,duration
CappFM2/1.wav0.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,0,320000,20.0
CappFM2/1.wav20.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,320000,640000,20.0
CappFM2/1.wav40.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,640000,960000,20.0
CappFM2/1.wav60.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,960000,1280000,20.0
CappFM2/1.wav80.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,1280000,1600000,20.0
CappFM2/1.wav100.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,1600000,1920000,20.0
CappFM2/1.wav120.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,1920000,2240000,20.0
CappFM2/1.wav140.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,2240000,2560000,20.0
CappFM2/1.wav160.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,2560000,2880000,20.0
CappFM2/1.wav180.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,2880000,3200000,20.0
CappFM2/1.wav200.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,3200000,3520000,20.0
CappFM2/1.wav220.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,3520000,3840000,20.0
CappFM2/1.wav240.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,3840000,4160000,20.0
CappFM2/1.wav260.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,4160000,4480000,20.0
CappFM2/1.wav280.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,4480000,4800000,20.0
CappFM2/1.wav300.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,4800000,5120000,20.0
CappFM2/1.wav320.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,5120000,5440000,20.0
CappFM2/1.wav340.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,5440000,5760000,20.0
CappFM2/1.wav360.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,5760000,6080000,20.0
CappFM2/1.wav380.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,6080000,6400000,20.0
CappFM2/1.wav400.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,6400000,6720000,20.0
CappFM2/1.wav420.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,6720000,7040000,20.0
CappFM2/1.wav440.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,7040000,7360000,20.0
CappFM2/1.wav460.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,7360000,7680000,20.0
CappFM2/1.wav480.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,7680000,8000000,20.0
CappFM2/1.wav500.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,8000000,8320000,20.0
CappFM2/1.wav520.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,8320000,8640000,20.0
CappFM2/1.wav540.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,8640000,8960000,20.0
CappFM2/1.wav560.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,8960000,9280000,20.0
CappFM2/1.wav580.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,9280000,9600000,20.0
CappFM2/1.wav600.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,9600000,9920000,20.0
CappFM2/1.wav620.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,9920000,10240000,20.0
CappFM2/1.wav640.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,10240000,10560000,20.0
CappFM2/1.wav660.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,10560000,10880000,20.0
CappFM2/1.wav680.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,10880000,11200000,20.0
CappFM2/1.wav700.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,11200000,11520000,20.0
CappFM2/1.wav720.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,11520000,11840000,20.0
CappFM2/1.wav740.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,11840000,12160000,20.0
CappFM2/1.wav760.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,12160000,12480000,20.0
CappFM2/1.wav780.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,12480000,12800000,20.0
CappFM2/1.wav800.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,12800000,13120000,20.0
CappFM2/1.wav820.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,13120000,13440000,20.0
CappFM2/1.wav840.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,13440000,13760000,20.0
CappFM2/1.wav860.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,13760000,14080000,20.0
CappFM2/1.wav880.0,/users/fkponou/data/speechbrain/To_Ryan/CappFM2/1.wav,14080000,14400000,20.0
